                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    128,                0.79785,                 0.5784,                 1.1586,                0.95531,                0.91187,                0.95134,                0.64472,                 1.1264,                0.61047,                  1.535,              0.0098743,              0.0098743,              0.0098743
                    129,                0.77709,                0.56844,                 1.1509,                0.91931,                0.85519,                0.93378,                 0.6345,                 1.1205,                0.65097,                 1.5531,              0.0098733,              0.0098733,              0.0098733
                    130,                0.80202,                0.57725,                 1.1623,                0.89102,                0.88606,                0.92734,                0.63158,                 1.1477,                0.63008,                 1.5743,              0.0098723,              0.0098723,              0.0098723
                    131,                0.78503,                0.56716,                 1.1436,                0.91934,                 0.8818,                0.94107,                0.62785,                 1.1565,                0.62698,                 1.5738,              0.0098713,              0.0098713,              0.0098713
                    132,                0.79749,                0.58851,                 1.1626,                0.90435,                0.90356,                0.94961,                0.65143,                 1.1359,                  0.648,                 1.5717,              0.0098703,              0.0098703,              0.0098703
                    133,                0.76838,                0.56964,                 1.1533,                0.91617,                  0.914,                0.94027,                0.62704,                 1.1698,                0.64231,                 1.6412,              0.0098693,              0.0098693,              0.0098693
                    134,                0.76801,                0.55722,                 1.1494,                 0.9474,                0.89117,                0.95403,                0.65346,                 1.1254,                0.60188,                 1.5562,              0.0098683,              0.0098683,              0.0098683
                    135,                0.77771,                 0.5627,                 1.1627,                0.90892,                0.88922,                0.92631,                0.63978,                 1.1562,                0.61835,                 1.5831,              0.0098673,              0.0098673,              0.0098673
                    136,                0.78044,                0.56869,                 1.1471,                0.90605,                0.87054,                0.92871,                0.62077,                 1.1427,                0.63784,                 1.5938,              0.0098664,              0.0098664,              0.0098664
                    137,                0.77034,                  0.554,                  1.145,                0.93697,                0.89701,                0.93625,                0.63889,                 1.1691,                0.62508,                 1.6045,              0.0098654,              0.0098654,              0.0098654
                    138,                0.76261,                 0.5428,                 1.1401,                0.91384,                0.90292,                0.94721,                0.62945,                 1.1532,                0.64996,                 1.5737,              0.0098644,              0.0098644,              0.0098644
                    139,                0.78265,                0.55757,                 1.1414,                0.89374,                0.89911,                0.93477,                0.64008,                 1.1606,                0.65246,                 1.5903,              0.0098634,              0.0098634,              0.0098634
                    140,                0.77932,                0.54694,                 1.1434,                0.93896,                0.90868,                0.94055,                0.63642,                 1.1535,                0.61523,                 1.5898,              0.0098624,              0.0098624,              0.0098624
                    141,                0.76163,                0.54706,                 1.1381,                0.90262,                0.90079,                0.94608,                0.65747,                 1.0962,                0.58252,                 1.5212,              0.0098614,              0.0098614,              0.0098614
                    142,                0.76992,                0.54642,                  1.148,                0.92866,                0.82737,                0.92665,                0.63619,                 1.1077,                0.67113,                 1.5184,              0.0098604,              0.0098604,              0.0098604
